@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

nursey,3,2,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1715,11664,1296,1272,24,0,98.148148,1.851852,0,0.972692,0.085005,0.145633,31.133636,39.416741,2223.34536,475.718423,1747.626937,1.715544,0.367067,1.348478,1747.626937,1.348478,101736.451047,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.981481,0.008959,0.991041,0.018519,0.982063,0.981481,0.978696,0.974662,0.999354,0.99854,0.890486,0.981481,0,10.767,0,10.296875,0,10296.875,1182578,1180677,133509,100,54.151235,?,1
nursey,3,3,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1715,11664,1296,1278,18,0,98.611111,1.388889,0,0.979546,0.086863,0.146937,31.814022,39.769602,2223.34536,485.868226,1737.477134,1.715544,0.374898,1.340646,1737.477134,1.340646,101145.589834,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.986111,0.006747,0.993253,0.013889,0.986508,0.986111,0.984523,0.981385,0.999606,0.999116,0.920349,0.986111,0,11.197,0,10.796875,0,10796.875,1182570,1180677,133509,100,54.891975,?,14
nursey,3,4,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1715,11664,1296,1265,31,0,97.608025,2.391975,0,0.964693,0.087359,0.149782,31.995721,40.539781,2223.34536,491.995661,1731.349699,1.715544,0.379626,1.335918,1731.349699,1.335918,100788.887002,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.97608,0.011496,0.988504,0.02392,0.976789,0.97608,0.972073,0.966557,0.99908,0.997951,0.863307,0.97608,0.001,10.429,0,10.09375,0,10093.75,1182570,1180677,133509,100,54.41358,?,1
nursey,3,5,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1715,11664,1296,1271,25,0,98.070988,1.929012,0,0.971569,0.084529,0.144318,30.959858,39.061631,2223.268119,471.713447,1751.554672,1.715485,0.363976,1.351508,1751.554672,1.351508,101964.707921,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.98071,0.00939,0.99061,0.01929,0.981422,0.98071,0.978637,0.973607,0.999532,0.998936,0.903625,0.98071,0.001,10.38,0,10.1875,0,10187.5,1182578,1180677,133509,100,54.243827,?,1
nursey,3,6,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1715,11664,1296,1283,13,0,98.996914,1.003086,0,0.985262,0.086965,0.147365,31.851819,39.886278,2223.268119,486.801022,1736.467097,1.715485,0.375618,1.339867,1736.467097,1.339867,101086.402398,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.989969,0.00487,0.99513,0.010031,0.990141,0.989969,0.989593,0.986425,0.999497,0.998906,0.960202,0.989969,0,11.273,0,10.6875,0,10687.5,1182586,1180677,133509,100,54.583333,?,1
nursey,3,7,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1716,11664,1296,1273,23,0,98.225309,1.774691,0,0.973838,0.085138,0.145109,31.182655,39.275685,2223.268119,476.560728,1746.707391,1.715485,0.367717,1.347768,1746.707391,1.347768,101682.529154,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.982253,0.008572,0.991428,0.017747,0.982711,0.982253,0.979794,0.975751,0.99932,0.998532,0.89808,0.982253,0,10.193,0,10.078125,0,10078.125,1182594,1180677,133509,100,54.382716,?,1
nursey,3,8,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1716,11664,1296,1277,19,0,98.533951,1.466049,0,0.978423,0.085572,0.144501,31.341717,39.111092,2223.268119,477.906024,1745.362095,1.715485,0.368755,1.34673,1745.401459,1.34676,101606.505832,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.98534,0.007115,0.992885,0.01466,0.985704,0.98534,0.984219,0.980128,0.999363,0.998617,0.931344,0.98534,0.001,10.881,0,10.421875,0,10421.875,1182586,1180677,133509,100,55.015432,?,1
nursey,3,9,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1716,11664,1296,1276,20,0,98.45679,1.54321,0,0.977265,0.08618,0.147054,31.563506,39.800896,2230.321868,485.370895,1744.950973,1.720927,0.374515,1.346413,1744.950973,1.346413,101615.258212,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.984568,0.007164,0.992836,0.015432,0.983564,0.984568,0.982302,0.978941,0.999244,0.996384,0.725498,0.984568,0.001,10.421,0,10.140625,0,10140.625,1182570,1180677,133509,100,54.537037,?,1
nursey,3,10,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1716,11664,1296,1275,21,0,98.37963,1.62037,0,0.976128,0.086603,0.147318,31.718544,39.872393,2230.321868,487.396187,1742.925681,1.720927,0.376077,1.34485,1742.925681,1.34485,101497.317629,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983796,0.007543,0.992457,0.016204,0.982845,0.983796,0.981545,0.97783,0.999269,0.996694,0.725024,0.983796,0.001,10.589,0,10.296875,0,10296.875,1182578,1180677,133509,100,54.567901,?,1
nursey,4,1,weka.classifiers.lazy.IBk,'-K 25 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1716,11664,1296,1274,22,0,98.302469,1.697531,0,0.97498,0.086319,0.146609,31.615425,39.68159,2223.268119,483.571644,1739.696475,1.715485,0.373126,1.342358,1739.696475,1.342358,101274.396859,1,432,0,0,1,864,0,0,1,1,1,1,1,1,0.983025,0.008311,0.991689,0.016975,0.983744,0.983025,0.980936,0.977025,0.999411,0.998615,0.90542,0.983025,0.001,11.171,0,10.734375,0,10734.375,1182594,1180677,133509,100,54.567901,?,14
