@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 7\nSize of the tree: 9\n','Number of leaves: 11\nSize of the tree: 14\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

balance-scale,3,3,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,13,50,0,20.634921,79.365079,0,0.009745,0.31401,0.400599,98.123927,100.145402,146.29757,145.475994,0.821576,2.322184,2.309143,0.013041,11.889658,0.188725,512.062672,0.75,9,0.431373,22,0.568627,29,0.25,3,0.290323,0.75,0.418605,0.250267,0.619281,0.230424,0.206349,0.197722,0.802278,0.793651,0.106887,0.206349,0.136658,-0.014637,0.482605,0.206908,0.138893,0.206349,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,3,4,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,16,47,0,25.396825,74.603175,0,0.068575,0.309165,0.393707,96.610055,98.422394,146.29757,138.590479,7.707092,2.322184,2.199849,0.122335,13.244871,0.210236,570.428837,0.833333,10,0.352941,18,0.647059,33,0.166667,2,0.357143,0.833333,0.5,0.379628,0.681373,0.278005,0.253968,0.186517,0.813483,0.746032,0.117551,0.253968,0.160401,0.031538,0.533022,0.220288,0.163158,0.253968,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,3,5,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,17,46,0,26.984127,73.015873,0,0.088106,0.313407,0.40061,97.935707,100.147943,146.29757,146.15421,0.143361,2.322184,2.319908,0.002276,12.483495,0.198151,537.637986,0.666667,8,0.372549,19,0.627451,32,0.333333,4,0.296296,0.666667,0.410256,0.23338,0.575163,0.228592,0.269841,0.181998,0.818002,0.730159,0.112714,0.269841,0.158889,0.049166,0.472365,0.197647,0.160312,0.269841,0,0,0,0,0,0,4187,40635,6204,100,98.730159,?,?,?,?
balance-scale,3,6,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,14,48,0,22.580645,77.419355,0,0.03125,0.316149,0.404639,98.792204,101.155233,143.975628,149.853352,-5.877724,2.322188,2.41699,-0.094802,11.602712,0.187141,499.704517,0.615385,8,0.408163,20,0.591837,29,0.384615,5,0.285714,0.615385,0.390244,0.169506,0.513344,0.262109,0.225806,0.19397,0.80603,0.774194,0.102919,0.225806,0.141379,0.001598,0.431728,0.195667,0.139587,0.225806,0,0,0,0,0,0,4187,40704,6135,93.548387,95.806452,?,?,?,?
balance-scale,3,7,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,9,53,0,14.516129,85.483871,0,-0.06827,0.31696,0.406241,99.045825,101.555615,143.975628,149.128308,-5.15268,2.322188,2.405295,-0.083108,10.207296,0.164634,439.606844,0.538462,7,0.346939,17,0.653061,32,0.461538,6,0.291667,0.538462,0.378378,0.160064,0.565934,0.248618,0.145161,0.2121,0.7879,0.854839,0.07664,0.145161,0.100262,-0.077027,0.4155,0.183693,0.097297,0.145161,0,0,0,0,0,0,4187,40704,6135,98.387097,99.354839,?,?,?,?
balance-scale,3,8,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,22,40,0,35.483871,64.516129,0,0.192445,0.309269,0.393927,96.642489,98.477337,143.975628,137.522691,6.452937,2.322188,2.218108,0.10408,14.779153,0.238373,636.507157,0.923077,12,0.346939,17,0.653061,32,0.076923,1,0.413793,0.923077,0.571429,0.470046,0.726845,0.373168,0.354839,0.161777,0.838223,0.645161,0.19515,0.354839,0.236745,0.145142,0.521537,0.244982,0.235112,0.354839,0,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
balance-scale,3,9,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,16,46,0,25.806452,74.193548,0,0.071917,0.314347,0.401673,98.22936,100.413644,143.975628,144.593087,-0.617459,2.322188,2.332147,-0.009959,12.438463,0.20062,535.698561,0.769231,10,0.346939,17,0.653061,32,0.230769,3,0.37037,0.769231,0.5,0.34671,0.615385,0.269358,0.258065,0.185003,0.814997,0.741935,0.138949,0.258065,0.179659,0.056666,0.447307,0.201463,0.177315,0.258065,0,0,0,0,0,0,4187,40704,6135,98.387097,98.709677,?,?,?,?
balance-scale,3,10,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,563,62,15,47,0,24.193548,75.806452,0,0.048645,0.314038,0.401049,98.132619,100.257806,143.975628,144.413229,-0.437601,2.322188,2.329246,-0.007058,11.808726,0.190463,508.577092,0.923077,12,0.489796,24,0.510204,25,0.076923,1,0.333333,0.923077,0.489796,0.357439,0.638932,0.270896,0.241935,0.19214,0.80786,0.758065,0.102151,0.241935,0.141409,0.009519,0.471978,0.203876,0.137959,0.241935,0,0,0,0,0,0,4187,40704,6135,100,100,?,?,?,?
balance-scale,4,1,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,15,48,0,23.809524,76.190476,0,0.049057,0.312013,0.398488,97.499867,99.617545,146.29757,143.724416,2.573154,2.322184,2.28134,0.040844,13.198565,0.209501,568.434532,0.916667,11,0.372549,19,0.627451,32,0.083333,1,0.366667,0.916667,0.52381,0.42781,0.772059,0.394053,0.238095,0.190644,0.809356,0.761905,0.119153,0.238095,0.155274,0.02943,0.497834,0.224019,0.158555,0.238095,0,0.001,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
balance-scale,4,2,weka.classifiers.bayes.NaiveBayes,-output-debug-info,5995231201785697655,20170918.1333,562,63,11,52,0,17.460317,82.539683,0,-0.028894,0.317025,0.405382,99.066125,101.341124,146.29757,150.034376,-3.736805,2.322184,2.381498,-0.059314,10.325029,0.163889,444.677388,0.75,9,0.470588,24,0.529412,27,0.25,3,0.272727,0.75,0.4,0.219686,0.591503,0.227221,0.174603,0.204799,0.795201,0.825397,0.081427,0.174603,0.106761,-0.056798,0.42981,0.192892,0.10963,0.174603,0,0,0,0,0,0,4187,40635,6204,100,100,?,?,?,?
