@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

chess,2,10,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.172,25251,2805,1775,1030,0,63.279857,36.720143,0,0.590431,0.052408,0.166207,52.663163,74.514152,9825.271141,6689.728907,3135.542234,3.50277,2.38493,1.11784,6349.503268,2.263638,181126.431934,0.95,266,0.05901,149,0.94099,2376,0.05,14,0.640964,0.95,0.765468,0.752245,0.981492,0.809259,0.632799,0.039515,0.960485,0.367201,0.637487,0.632799,0.629918,0.593171,0.912989,0.651608,0.609661,0.632799,0.004,68.027,0,66.375,0,66375,2150525,2148696,240786,90.944742,13.060012,?,4
chess,3,1,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1722,25250,2806,1708,1098,0,60.869565,39.130435,0,0.563786,0.054313,0.170249,54.575675,76.323324,9833.046232,7288.180637,2544.865595,3.504293,2.597356,0.906937,6170.988836,2.199212,176042.635172,0.939068,262,0.068065,172,0.931935,2355,0.060932,17,0.603687,0.939068,0.734923,0.720812,0.973819,0.767516,0.608696,0.04128,0.95872,0.391304,0.613238,0.608696,0.605824,0.567059,0.905314,0.623704,0.557905,0.608696,0.004,68.597,0,65.8125,0,65812.5,2150448,2148611,240871,89.771917,13.298883,?,4
chess,3,2,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1723,25250,2806,1702,1104,0,60.655738,39.344262,0,0.561679,0.054168,0.169522,54.429729,75.996844,9831.125046,6814.769425,3016.355621,3.503608,2.428642,1.074966,6240.036795,2.223819,178008.501085,0.924731,258,0.059755,151,0.940245,2376,0.075269,21,0.630807,0.924731,0.75,0.733522,0.979748,0.788277,0.606557,0.041133,0.958867,0.393443,0.610137,0.606557,0.604141,0.564595,0.913133,0.626868,0.542419,0.606557,0.002,68.818,0,66.21875,0,66218.75,2150440,2148611,240871,90.912331,13.312743,?,4
chess,3,3,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1724,25250,2806,1766,1040,0,62.936565,37.063435,0,0.58638,0.053134,0.167671,53.389369,75.165066,9831.827984,6666.838441,3164.989544,3.503859,2.375922,1.127936,6305.924248,2.2473,179889.489525,0.939286,263,0.062945,159,0.937055,2367,0.060714,17,0.623223,0.939286,0.749288,0.734783,0.977343,0.786099,0.629366,0.039806,0.960194,0.370634,0.634448,0.629366,0.626491,0.589794,0.914254,0.637848,0.563646,0.629366,0.002,68.654,0.015625,65.828125,15.625,65828.125,2150464,2148611,240871,91.161796,13.273145,?,4
chess,3,4,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1725,25250,2806,1730,1076,0,61.653599,38.346401,0,0.572483,0.052854,0.167136,53.106869,74.923859,9833.689408,6599.794218,3233.895191,3.504522,2.352029,1.152493,6337.763022,2.258647,180801.553862,0.946429,265,0.062945,159,0.937055,2367,0.053571,15,0.625,0.946429,0.752841,0.739333,0.974173,0.816008,0.616536,0.041242,0.958758,0.383464,0.618902,0.616536,0.612835,0.574067,0.915256,0.642934,0.535454,0.616536,0.003,69.736,0.015625,66.625,15.625,66625,2150448,2148611,240871,91.26871,13.132573,?,4
chess,3,5,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1726,25250,2806,1759,1047,0,62.687099,37.312901,0,0.583523,0.052429,0.166304,52.681707,74.554054,9833.763666,6436.463158,3397.300508,3.504549,2.293822,1.210727,6411.253081,2.284837,182898.239791,0.95,266,0.062154,157,0.937846,2369,0.05,14,0.628842,0.95,0.756757,0.743706,0.978871,0.788073,0.626871,0.040838,0.959162,0.373129,0.626213,0.626871,0.622054,0.584026,0.916682,0.647272,0.55048,0.626871,0.003,70.581,0.015625,66.5,15.625,66500,2150440,2148611,240871,91.589451,13.065257,?,4
chess,3,6,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1727,25250,2806,1745,1061,0,62.188168,37.811832,0,0.578369,0.053508,0.168556,53.765075,75.562535,9834.19287,6853.067475,2981.125396,3.504702,2.442291,1.062411,6255.594553,2.229364,178458.526488,0.932143,261,0.070467,178,0.929533,2348,0.067857,19,0.594533,0.932143,0.726008,0.710899,0.969521,0.749144,0.621882,0.039685,0.960315,0.378118,0.627372,0.621882,0.619251,0.582431,0.911565,0.633813,0.521348,0.621882,0.002,68.966,0,66,0,66000,2150440,2148611,240871,90.734141,13.241467,?,4
chess,3,7,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1729,25251,2805,1732,1073,0,61.746881,38.253119,0,0.573364,0.053684,0.168385,53.943759,75.488306,9827.303835,6757.657066,3069.646769,3.503495,2.409147,1.094348,6259.222336,2.231452,178555.188947,0.932143,261,0.068911,174,0.931089,2351,0.067857,19,0.6,0.932143,0.73007,0.714856,0.974463,0.772001,0.617469,0.040141,0.959859,0.382531,0.623007,0.617469,0.615071,0.5777,0.913223,0.632672,0.530513,0.617469,0.003,73.649,0.015625,67.90625,15.625,67906.25,2150525,2148696,240786,90.980392,13.359081,?,4
chess,3,8,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.173,25251,2805,1765,1040,0,62.923351,37.076649,0,0.58627,0.053184,0.167515,53.441261,75.098257,9828.90984,6819.687308,3009.222532,3.504068,2.431261,1.072807,6268.830988,2.234877,178832.518612,0.960714,269,0.068911,174,0.931089,2351,0.039286,11,0.607223,0.960714,0.744122,0.733056,0.975594,0.78936,0.629234,0.039799,0.960201,0.370766,0.635601,0.629234,0.625677,0.589835,0.911402,0.642459,0.543529,0.629234,0.003,59.984,0,58.515625,0,58515.625,2150525,2148696,240786,90.730838,13.200634,?,4
chess,3,9,weka.classifiers.lazy.IBk,'-K 50 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20170918.1731,25251,2805,1737,1068,0,61.925134,38.074866,0,0.575232,0.053437,0.168381,53.694744,75.484892,9829.898446,6640.620149,3189.278297,3.50442,2.367423,1.136998,6275.40877,2.237222,179022.193523,0.956989,267,0.074426,188,0.925574,2338,0.043011,12,0.586813,0.956989,0.72752,0.716515,0.97805,0.776141,0.619251,0.040947,0.959053,0.380749,0.624935,0.619251,0.615752,0.578517,0.915804,0.63492,0.556298,0.619251,0.002,53.802,0.015625,53.390625,15.625,53390.625,2150525,2148696,240786,91.229947,13.170925,?,4
